date,signal
2010-01-06,-2.12
2010-01-07,-1.22
2010-01-08,1.82
2010-01-11,0.12
2010-01-12,-2.36
2010-01-13,0.66
2010-01-14,0.72
2010-01-15,-1.53
2010-01-19,1.75
2010-01-20,-0.93
2010-01-21,-1.43
2010-01-22,-3.1
2010-01-25,-1.55
2010-01-26,-0.92
2010-01-27,0.16
2010-01-28,-1.6
2010-01-29,-1.85
2010-02-01,-0.14
2010-02-02,0.85
2010-02-03,1.2
2010-02-04,-1.78
2010-02-05,-0.27
2010-02-08,-1.01
2010-02-09,0.34
2010-02-10,0.03
2010-02-11,1.62
2010-02-12,1.4
2010-02-16,2.21
2010-02-17,2.13
2010-02-18,2.2
2010-02-19,1.67
2010-02-22,1.2
2010-02-23,-0.12
2010-02-24,0.75
2010-02-25,0.55
2010-02-26,0.78
2010-03-01,1.83
2010-03-02,1.72
2010-03-03,1.52
2010-03-04,1.59
2010-03-05,2.46
2010-03-08,2.2
2010-03-09,2.02
2010-03-10,2.02
2010-03-11,1.94
2010-03-12,1.64
2010-03-15,1.22
2010-03-16,1.46
2010-03-17,1.4
2010-03-18,1.38
2010-03-19,0.67
2010-03-22,1.23
2010-03-23,1.59
2010-03-24,1.0
2010-03-25,0.72
2010-03-26,0.67
2010-03-29,0.98
2010-03-30,1.15
2010-03-31,0.61
2010-04-01,0.5
2010-04-05,1.22
2010-04-06,1.31
2010-04-07,0.89
2010-04-08,0.94
2010-04-09,1.33
2010-04-12,1.27
2010-04-13,1.53
2010-04-14,2.23
2010-04-15,2.18
2010-04-16,0.72
2010-04-19,0.51
2010-04-20,0.85
2010-04-21,1.17
2010-04-22,1.3
2010-04-23,1.43
2010-04-26,1.03
2010-04-27,-0.86
2010-04-28,-0.57
2010-04-29,0.95
2010-04-30,-0.79
2010-05-03,0.51
2010-05-04,-1.73
2010-05-05,-1.58
2010-05-06,-1.8
2010-05-07,-1.48
2010-05-10,2.12
2010-05-11,1.51
2010-05-12,2.52
2010-05-13,0.87
2010-05-14,-0.57
2010-05-17,-0.2
2010-05-18,-0.92
2010-05-19,-1.02
2010-05-20,-2.34
2010-05-21,-0.73
2010-05-24,-0.77
2010-05-25,-0.42
2010-05-26,-0.9
2010-05-27,1.59
2010-05-28,0.75
2010-06-01,-0.02
2010-06-02,1.46
2010-06-03,1.67
2010-06-04,-0.9
2010-06-07,-1.88
2010-06-08,-1.33
2010-06-09,-1.49
2010-06-10,0.64
2010-06-11,1.14
2010-06-14,0.93
2010-06-15,2.41
2010-06-16,2.17
2010-06-17,1.92
2010-06-18,1.61
2010-06-21,0.73
2010-06-22,0.09
2010-06-23,-0.18
2010-06-24,-1.03
2010-06-25,-0.8
2010-06-28,-0.89
2010-06-29,-2.64
2010-06-30,-2.78
2010-07-01,-1.78
2010-07-02,-1.57
2010-07-06,-1.04
2010-07-07,0.98
2010-07-08,1.08
2010-07-09,1.53
2010-07-12,1.46
2010-07-13,1.79
2010-07-14,1.65
2010-07-15,1.29
2010-07-16,-0.52
2010-07-19,0.07
2010-07-20,0.72
2010-07-21,-0.21
2010-07-22,1.25
2010-07-23,1.35
2010-07-26,1.61
2010-07-27,1.31
2010-07-28,0.66
2010-07-29,0.1
2010-07-30,0.2
2010-08-02,1.29
2010-08-03,0.84
2010-08-04,1.41
2010-08-05,1.13
2010-08-06,0.85
2010-08-09,1.26
2010-08-10,0.5
2010-08-11,-1.19
2010-08-12,-1.48
2010-08-13,-1.75
2010-08-16,-1.39
2010-08-17,-0.41
2010-08-18,-0.11
